feature,mean_abs_shap,mean_shap,positive_impact%,rank,direction
POS_CNT_INSTALMENT_MEAN,0.04497900864881106,-0.0016360860177392254,35.8,23,↓ Decreases Risk
FLAG_OWN_CAR,0.04419875038374446,0.0019874809775668367,66.3,24,↑ Increases Risk
ORGANIZATION_TYPE,0.04362891420470691,-0.0004707385037113597,66.3,25,↓ Decreases Risk
EMPLOY_TO_AGE_RATIO,0.04234745007234301,0.0012331850881109221,54.25,26,↑ Increases Risk
OWN_CAR_AGE,0.03924564356526772,0.001198812410084493,84.6,27,↑ Increases Risk
REGION_POPULATION_RELATIVE,0.03918423637154864,0.0007886804063926511,53.349999999999994,28,↑ Increases Risk
INST_PAID_EARLY_RATE,0.039049854795206854,-0.002473994713094752,51.55,29,↓ Decreases Risk
POS_ACTIVE_COUNT,0.03842275684445758,0.001840547345999536,60.0,30,↑ Increases Risk
FLAG_DOCUMENT_3,0.03681806605198284,-0.0014418706441344856,69.6,31,↓ Decreases Risk
DAYS_EMPLOYED,0.03573153837754254,0.002372177813008649,53.349999999999994,32,↑ Increases Risk
DOCUMENT_COUNT,0.03428989432426413,-0.00041624730186753554,87.2,33,↓ Decreases Risk
BUREAU_DAYS_CREDIT_MEAN,0.03406438006771118,0.001962614351852623,56.55,34,↑ Increases Risk
AMT_REQ_CREDIT_BUREAU_QRT,0.03387000365772041,-0.0012195886182530152,82.89999999999999,35,↓ Decreases Risk
YEARS_ID_PUBLISH,0.03316355780905699,-0.0012961468889470611,68.25,36,↓ Decreases Risk
CC_CNT_DRAWINGS_MEAN,0.033104190501114204,-0.0017819543805079117,9.85,37,↓ Decreases Risk
PREV_RATE_DOWN_MAX,0.033086896222334454,0.0009504814552999418,70.85000000000001,38,↑ Increases Risk
ANNUITY_PER_PERSON,0.03294435157837035,-0.002311238255236662,60.199999999999996,39,↓ Decreases Risk
NAME_INCOME_TYPE,0.032298729637091676,0.0011692946708238734,52.65,40,↑ Increases Risk
DAYS_BIRTH,0.03093923194066094,0.00224161877726939,64.8,41,↑ Increases Risk
ANNUITY_INCOME_RATIO,0.03073635506548333,0.0017797033306929447,45.45,42,↑ Increases Risk
INST_DAYS_LATE_MAX,0.030684866717328382,-0.0025397121759585073,42.35,43,↓ Decreases Risk
